Company,Year-Invested,Type
Abila,,equity
Abrigo,2015,"credit,equity"
Acumatica,2018,equity-realized
Agilence,2019,credit
Airship,2022,credit
Alias,,equity
APT,,equity
ATP,2020,"credit,equity"
Birdeye,2022,equity
Blue Mountain Quality Resources,2020,equity
Captify,2021,credit
Cendyn,2016,equity
Cielo,2015,"credit,equity-realized"
Clavis Insight,,equity
Clevest,,equity
ClickDimensions,2016,equity
Cloud 9 Software,2019,equity
Continuity,2018,credit
CRS Retail Systems,,equity
Datapipe,2010,equity
Delta Data,2014,equity
Drips,2021,equity
Duett,2019,equity
Efreightsolutions,2019,credit
Ektron,,equity
Endalia,2020,equity
Endurance Intl. Group,,equity
Enmark,2021,equity
Entersekt,2021,equity
Enverus,2018,equity
Envizi,2019,credit
Episerver,,equity
eSentire,2019,credit
ESG,2016,equity
ESO,2016,"credit,equity"
FastSpring,2018,equity
FM:Systems,2017,"credit,equity"
Forcura,2020,equity
FRISS,2021,equity
GPS Insight,2019,"credit,equity"
Green Mountain Technology,2018,credit
HighJump,,equity
HighWire,2014,equity
Humanforce,2019,equity
imed,2017,equity
InfoMC,,credit
IntegriChain,2016,equity
IntrinsiQ,,equity
iSolved HCM,2011,equity
ITC,2018,equity
iTradeNetwork,,equity
Jaggaer,2016,equity
Kaleris,2020,"credit,equity"
KANA,,equity
Kantata,2018,equity
KCS,2015,equity
Layered Technologies,,equity
Lemontech,2019,equity
MarketFactory,2019,credit
Masabi,2022,equity
Ministry Brands,2017,equity
Model N,,equity
MyComplianceOffice,2021,credit
Navis,2021,buyouts
North Plains,,equity
NAVTOR,2020,equity
N­-able Technologies,,equity
Oildex,,equity
On Center Software,,equity
One.com,,equity
Ontraport,2020,credit
Opera Solutions,,equity
OrthoFi,2019,"credit,equity"
PageUp People,,equity
Partnerize,2019,equity
Patientco,2018,equity
Paymentus (NYSE: PAY),2011,equity
Pegasus,2019,equity
Pegasus Management,2020,equity
Peppermint Technology,2019,credit
PointRight,2018,credit
PrismHR,2014,equity
PropLogix,2021,equity
Rackspace,2017,equity
Reapit,2017,equity
Recurly,2020,equity
RiseSmart,,equity
Saber,,equity
Safeguard Global,2019,equity
Salary.com,2021,credit
Salsa Labs,2018,equity
Savista,,equity
Sandata Technologies,2019,"credit,equity"
Seequent,2018,"credit,equity"
Semafone,2021,credit
ShowingTime,2019,credit
Siigo,2017,equity
Singletrack,2022,equity
SIS,2020,buyouts
Smart Communications,2016,equity
Springbrook Software,2019,equity
Submittable,2022,equity
SugarCRM,2018,"credit,equity"
Systems & Software,,equity
Tai Software,2020,equity
TEAM Software,2018,"credit,equity"
TELCOR,2016,"credit,equity"
ToolsGroup,2018,equity
Trax Technologies,2021,credit
TrueCommerce,2012,"credit,equity"
Unimarket,2021,equity
Uptick,2021,equity
US eDirect,2019,credit
Vendavo,2021,"credit,equity"
Vistex,2019,equity
Vitu,2015,equity
Vobile Group,2019,credit
VYNE,,equity
Wistia,,credit
Xtiva,2021,credit
Yes Energy,2022,equity
YourEncore,,equity
Zinc Ahead,,equity
