Company,Year-Invested,Type
Coralogix,Expansion capital,Jun-22
Eureka Forbes,Buyout,Apr-22
Medius,Recapitalization,Apr-22
SonarSource,Recapitalization,Apr-22
CertiK,Expansion capital,Mar-22
Tigre,Expansion capital,Mar-22
Caldic (formerly GTM Holdings),Buyout,"Dec 2014, Mar 2022"
McAfee,Growth equity,Mar-22
BigPanda,Expansion capital,Jan-22
Global Processing Services,Growth Buyout,Dec-21
Encora,Buyout,Dec-21
GS Capsule,Buyout,Dec-21
Orveon,Growth Buyout,Dec-21
Iodine Software,Growth equity,Nov-21
Planet,Growth Buyout,Oct-21
Merama,Expansion capital,Sep-21
Assembly,Recapitalization,Jul-21
EBANX,Expansion capital,Jun-21
Salt Security,Expansion capital,May-21
Shift Technology,Expansion capital,May-21
BigID,Expansion capital,Apr-21
HYPR,Expansion capital,Mar-21
Wiz,Expansion capital,Mar-21
NielsenIQ,Carve-out,Mar-21
Cyware,Expansion capital,Mar-21
Xplor Technologies (New company as a result of the merger between Clearent and Transaction Services Group),Buyout,Feb-21
RxBenefits,Recapitalization,Dec-20
Nubank,Growth equity,Dec-20
Zenoti,Expansion capital,Dec-20
Sophos Solutions,Buyout,Dec-20
Evri (formerly Hermes UK),Carve-out,Nov-20
Aareon AG,Buyout,Oct-20
RA Chem Pharma Limited,Buyout,Oct-20
Dufry,"Buyout, PIPE","Feb 2004, Oct 2020"
Tekion,Expansion capital,Oct-20
Grupo CRM,Buyout,Oct-20
Forescout Technologies,Public-to-private,Aug-20
TK Elevator (formerly thyssenkrupp Elevator),Carve-out,Jul-20
Thrasio,Buyout,Jul-20
"Conservice, LLC",Buyout,May-20
Aditya Birla Capital,Expansion capital,Feb-20
Bharat Serums and Vaccines,Buyout,Feb-20
Cobham,Public-to-private,Jan-20
DFM Foods,Buyout,Jan-20
Olaplex,Buyout,Jan-20
CI&T,"Buyout, Growth equity",Nov-19
Transaction Services Group (now Xplor Technologies post-merger with Clearent),Buyout,Oct-19
ICE Group,Buyout,Sep-19
Vitaldent,Buyout,Sep-19
Roehm,Carve-out,Jul-19
Definitive Healthcare,Buyout,Jul-19
AccentCare,"Buyout, Growth equity",Jun-19
Aimbridge Hospitality,Buyout,Feb-19
Prisma Medios de Pagos S.A.,Carve-out,Feb-19
BioDuro,Buyout,Jan-19
INNIO (formerly GE Distributed Power),Carve-out,Nov-18
Manjushree Technopack Limited,Buyout,Oct-18
Zentiva,Carve-out,Sep-18
Grupo BIG (formerly Walmart Brazil Group),Carve-out,Aug-18
"Deutsche Fachpflege Gruppe, (""DFG"")",Buyout,Jul-18
Laird Limited,Public-to-private,Jul-18
Circet Groupe,Buyout,Apr-18
Clearent (now Xplor Technologies post-merger with Transaction Service Group),Buyout,Mar-18
Easynvest,Buyout,Mar-18
Nets,"Carve-out, Public-to-private","Jul 2014, Feb 2018"
Enjoy S.A.,PIPE,Jan-18
Williams Lea Tag Group,Carve-out,Nov-17
Grupo Farmaceutico Somar,Carve-out,Oct-17
Modenik (formerly Dixcy-Enamor),"Buyout, Growth equity",Sep-17
Faerch,Buyout,Aug-17
YDUQS (formerly Estácio Participações),PIPE,Aug-17
First Watch,Buyout,Aug-17
Concardis GmbH,Carve-out,Jul-17
Canvia (formerly GMD),Carve-out,Jun-17
Integer.pl S.A.,Public-to-private,May-17
CCC Intelligent Solutions,Buyout,Apr-17
V.Group Limited,Buyout,Mar-17
Rubix,Public-to-private,Feb-17
Sovos Brands,Buyout,Jan-17
ASK Investment Managers Private Limited,Growth equity,Dec-16
"Ansira Holdings, Inc.",Buyout,Dec-16
Culligan International Group,Buyout,Dec-16
"Syneos Health, Inc. (formerly INC Research Holdings, Inc.)",Buyout,Nov-16
King Koil China,Buyout,Oct-16
Fort Dearborn,Buyout,Oct-16
Peruquímicos S.A.C.,Buyout,Oct-16
Fortbras Group,Buyout,Sep-16
Quala,Buyout,Aug-16
VIAKEM,Buyout,Aug-16
"ATI Physical Therapy Holdings, LLC",Buyout,May-16
QuEST Global Services,Growth equity,Feb-16
Nexi,Carve-out,Dec-15
Fleury S.A.,PIPE,Oct-15
LifeMiles B.V.,Carve-out,Aug-15
Crompton Greaves Consumer Electricals Limited,Carve-out,Jul-15
Addiko Bank (formerly Hypo Group Alpe Adria),Carve-out,Jul-15
Ammeraal Beltech Holding B.V.,Buyout,Jul-15
Grupo Financiero Mifel,Growth equity,Jun-15
Faculdade da Serra Gaucha Group (FSG),Buyout,May-15
Genoa Healthcare,Buyout,Apr-15
Allied,Secondary buyout,Feb-15
Cataratas do Iguaçu,Growth equity,Dec-14
Distribution International,Buyout,Dec-14
Noosa Yoghurt,Buyout,Nov-14
Corialis,Buyout,Oct-14
The Learning Lab,Buyout,Sep-14
lululemon athletica,"Growth equity, Recapitalization","Dec 2005, Sep 2014"
RGL Reservoir Management,Buyout,Aug-14
FinancialForce,Growth equity,May-14
Unit4,Public-to-private,Mar-14
Alianza Fiduciaria,Buyout,Jan-14
Restoque,Buyout,Dec-13
Ocensa,Growth equity,Dec-13
P2 Energy Solutions,Buyout,Nov-13
The Coffee Bean & Tea Leaf,Buyout,Sep-13
allnex,Carve-out,Apr-13
Mediq,Public-to-private,Feb-13
KMD,Buyout,Dec-12
NCS Multistage,Buyout,Dec-12
Douglas Holding,Public-to-private,Dec-12
InverCap Holdings,Buyout,Nov-12
EKO Holding,Public-to-private,Nov-12
Serta Simmons Bedding,Recapitalization,Oct-12
Cotiviti,Buyout,Jul-12
Party City Holdings,"Buyout, Secondary buyout","Aug 2008, Jul 2012"
TransUnion,Buyout,Apr-12
CARE Hospitals,Growth equity,Mar-12
MAXAM,Buyout,Feb-12
Morsco,Buyout,Nov-11
IDEMIA,Buyout,Nov-11
Grupo Biotoscana,Buyout,Nov-11
Mondo Minerals,Buyout,Oct-11
American Heart of Poland,Growth equity,Oct-11
Laboratorio LKM,Buyout,Oct-11
Bojangles',Buyout,Aug-11
Terminal de Contêineres de Paranaguá (TCP),Buyout,Jul-11
TES Vsetin,Buyout,Jul-11
PPF - Partner in Pet Food,Carve-out,Jun-11
Isida,Buyout,Mar-11
Towergate,Growth equity,Feb-11
Worldpay,Carve-out,Nov-10
Tinsa,Carve-out,Nov-10
BOS Solutions,Buyout,Oct-10
Five Below,Buyout,Oct-10
ABC Supply,Recapitalization,Jun-10
DFS Furniture,Buyout,Jun-10
Skillsoft,Public-to-private,May-10
Regina Maria (formerly Centrul Medical Unirea),Buyout,Feb-10
WSiP - Wydawnictwa Szkolne i Pedagogiczne,Public-to-private,Feb-10
GFKL,Buyout,Dec-09
Devin,Public-to-private,Nov-09
MEDIAN,Buyout,Oct-09
Charlotte Russe,Public-to-private,Oct-09
Kroton Educacional,Growth equity,Jul-09
Vantiv,Carve-out,Jun-09
Cetip,Carve-out,May-09
Monte de México,Buyout,Dec-08
Monext,Carve-out,Oct-08
Quero-Quero,Buyout,Sep-08
Bradco Supply,Buyout,Aug-08
Gérard Darel,Buyout,Jul-08
Craegmoor,Buyout,Jul-08
The Priory Group,Carve-out,Jul-08
Airport Shoppes,Buyout,Mar-08
Hudson Group,Buyout,Mar-08
Latin American Airport Holdings,Buyout,Feb-08
Labormed,Buyout,Feb-08
Casa Reha,"Buyout, Secondary buyout","Sep 2005, Jan 2008"
Synventive Molding Solutions,"Buyout, Recapitalization","Jul 2005, Jan 2008"
KAI Group,Buyout,Dec-07
Domestic & General,Public-to-private,Dec-07
Viena,Buyout,Nov-07
Gayosso,Buyout,Oct-07
CAMS - Computer Age Management Services,Growth equity,Oct-07
Equiniti,Carve-out,Sep-07
Takko,Buyout,Aug-07
Sophis,Buyout,Jul-07
Ceramica,Public-to-private,Jun-07
Stokomani,Buyout,May-07
Grupo RA,Buyout,Apr-07
Oxea,Carve-out,Feb-07
Pronto!,Buyout,Feb-07
H.C. Starck,Carve-out,Feb-07
Grupo La Mansión,Buyout,Nov-06
International Meal Company,Buyout,Nov-06
Venere,Buyout,Nov-06
Roma Plastik,Buyout,Oct-06
Ultimo Group,Buyout,Oct-06
BondDesk Group,Carve-out,Aug-06
RWE Solutions,Carve-out,Aug-06
Hune (formerly Euroloc),Buyout,Jul-06
Nuevo Banco Comercial,Privatization,Jun-06
Milano,Buyout,May-06
Dufry South America (formerly Brasif),Buyout,Mar-06
Axtone,Buyout,Jan-06
CCS,Buyout,Oct-05
Hipotecaria Casa Mexicana,Growth equity,Oct-05
Herlitz,Public-to-private,Oct-05
Aircom International,Growth equity,Oct-05
Moeller,"Buyout, Secondary buyout","Dec 2003, Sep 2005"
AMAIT - Administradora Mexiquense del Aeropuerto Internacional de Toluca,Growth equity,Aug-05
Boart Longyear,Carve-out,Jul-05
Deutek,Carve-out,Jul-05
Gruppo Argenta,Buyout,Jun-05
Making Memories,Buyout,May-05
Fat Face,Buyout,Apr-05
HT Troplast,Carve-out,Jan-05
National Bankruptcy Services,Buyout,Dec-04
Proservvi Banco de Serviços,Growth equity,Dec-04
AVIP,Buyout,Sep-04
