Company,Year-Invested,Type
1-800-contacts-inc,01/2016,Consumer
24-hour-fitness-worldwide-inc,05/2014,Consumer
50-floor-inc,12/2020,Consumer
acosta-inc,07/2006,Services
allied-power-group,06/2019,Services
american-expediting,05/2019,Services
amerivet-partners-management-inc,02/2022,Services
api-technologies-corp,09/2019,Industrials
aramsco-holdings-inc,05/2013,Services
at-home,05/2011,Consumer
b-i-incorporated,05/2008,Services
balboa-instruments,11/2015,Industrials
barnet-products-corporation,09/2017,Services
bms-enterprises,09/2019,Services
boa-group,10/2010,Industrials
brand-networks,05/2013,Consumer
burts-bees-inc,07/2003,Consumer
chemical-guys,07/2021,Consumer
cimsense,05/2021,Industrials
cls-management-services-inc,06/2020,Services
cogent-healthcare,01/2010,Services
colony-hardware-corporation,07/2007,Services
connexus-resource-group,08/2018,Services
convenience-food-systems-b-v,04/2004,Industrials
cpg-international-inc,10/2005,Industrials
dayton-parts,05/2012,Industrials
dematic,11/2016,Industrials
entregado-group,11/2017,Services
evans-network,06/2012,Services
evoqua-water-technologies,02/2019,Industrials
excelitas-technologies-holding-corp,01/2017,Industrials
flow-control-group,02/2015,Services
galco-industrial-electronics-inc,05/2014,"Services,Industrials"
gms-inc,01/2014,Industrials
henry-company,04/2005,Industrials
hero-digital,11/2021,Services
houghton-international-inc,12/2007,Industrials
implus-footcare-llc,05/2008,Consumer
in-the-swim,02/2005,Consumer
industrial-acoustics-company,05/2012,Industrials
industrial-controls,01/2006,"Services,Industrials"
igl-holdings,04/2016,Industrials
jacks-family-restaurants,08/2019,Consumer
kranson-industries-inc,07/2004,Services
lonestar-group,08/2010,Industrials
melissa-doug-llc,06/2017,Consumer
meritus-gas-partners,12/2020,Services
monroe-engineering,12/2021,Industrials
montway-inc,11/2020,"Consumer,Services"
national-carwash-solutions,04/2017,Services
national-rehab-equipment-inc,07/2007,"Consumer,Services"
nes-fircroft,10/2012,Services
northern-china-german-automotive,06/2009,Consumer
numotion,11/2018,Industrials
omega-acquisition-corporation,08/2016,Industrials
pexco-llc,04/2018,Industrials
phillips-pet-food-supplies,03/2010,Services
plz-aeroscience-corporation,08/2005,"Consumer,Industrials"
polygon-holding-ab,10/2021,Services
ppc-industries-inc,03/2006,Industrials
pregis-corporation,12/2005,Industrials
pro-mach-group-inc,10/2014,Industrials
process-sensing-technologies,11/2020,Industrials
redwood-logistics-llc,12/2021,Services
reladyne-inc,10/2010,Services
sbp-holding-lp-singer-bishop,01/2011,Services
sgl-transgroup,08/2016,Services
sextant-education-corp,02/2009,Services
shoes-for-crews-inc,10/2010,Consumer
sitelogiq,08/2020,Services
sparrows-group,10/2012,"Services,Industrials"
spectrum-plastics-group,01/2018,Industrials
springs-window-fashions,06/2018,Industrials
srs-distribution-inc,08/2008,Services
suhyang-networks,02/2013,Consumer
swanson-industries-inc,01/2012,Industrials
threesixty-group-ltd,01/2015,Consumer
traeger-pellet-grills-holdings-llc,09/2019,Consumer
tricorbraun-holdings-inc,11/2016,Services
troxell-communications-inc,01/2008,Services
unifrax-corporation,02/2006,Industrials
unisyn-precision-components,06/2021,Industrials
verdesian-life-sciences,02/2021,Industrials
veseris,12/2019,Services
visual-comfort-co,10/2016,Industrials
window-nation,07/2021,"Services,Industrials"
